Practice_1,Practice_2,Category,Alpha_value,Beta_value,Gamma_value,Delta_incompatible,Reason
Zero Tillage (ZT),Rice Straw Incorporation with N Fertiliser,zero_like,0.009758892,18.58135428,65.1785122,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Crop Rotation and Diversification,zero_like,-0.009982646,5.804033077,14.0022971,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Early-Maturing / Low-Emission Variety Selection,zero_like,0.003280329,21.78571945,26.83146585,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),High-Biomass / Deep-Root Variety Selection,zero_like,0.010183703,1.689476737,34.69432784,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Deep Placement of N Fertiliser,zero_like,0.009469323,-36.4288955,-38.36054596,0,No explicit source interaction; treated as weak/additive.
Zero Tillage (ZT),Raised Bed + Zero Tillage System,X,0,0,0,1,Raised Bed + ZT is an advanced bundled form of ZT; treat as overlapping.
Crop Residue Retention,Reduced / Minimum Tillage,pos,0.06588882,-112.3607247,600.4743948,0,Reduced tillage helps preserve residue-derived SOC.
Crop Residue Retention,Puddling Reduction,pos,0.124848239,-120.304089,824.2901038,0,Residue retention plus less aggressive wet tillage lowers life-cycle GHG burden.
Crop Residue Retention,Mid-Season Drainage (MSD),zero_like,-0.025243047,-8.37212575,19.53036781,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Alternate Wetting and Drying (AWD),strong_pos,0.183448893,-184.438671,1598.336809,0,AWD mitigates CH4 amplification from residue retention under full flooding.
Crop Residue Retention,System of Rice Intensification (SRI) Water Management,zero_like,-0.005230876,-11.55879482,102.9571058,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Balanced Inorganic NPK Fertilisation,zero_like,-0.002869565,-31.89215808,-135.9944657,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Optimised / Variable-Rate N Application,zero_like,-0.013791784,12.4290186,17.09108833,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Integrated Nutrient Management (INM) – Organic + Inorganic,zero_like,0.01035728,-10.68131616,19.02476293,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Green Manure Incorporation,zero_like,0.009383856,-7.733663493,54.81302851,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Farmyard Manure (FYM) Application,zero_like,-0.009928889,-9.076346164,-45.80854728,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Compost Application,zero_like,-0.017937595,12.17431202,-56.32828082,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Biochar Application,zero_like,0.000187412,12.01866647,53.58374112,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Rice Straw Incorporation with N Fertiliser,zero_like,0.009980777,-2.462137113,-50.79579745,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Crop Rotation and Diversification,zero_like,-0.001195773,-42.18336085,-173.6534967,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Early-Maturing / Low-Emission Variety Selection,zero_like,-0.019840494,-24.93117069,47.97290721,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,High-Biomass / Deep-Root Variety Selection,zero_like,-0.013582186,-9.454063851,155.9073957,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Deep Placement of N Fertiliser,zero_like,-0.00534396,18.43788921,-112.0341216,0,No explicit source interaction; treated as weak/additive.
Crop Residue Retention,Raised Bed + Zero Tillage System,zero_like,-0.003081563,-23.75055137,-40.68396911,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Puddling Reduction,zero_like,0.012604622,-43.18301058,52.13083723,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Mid-Season Drainage (MSD),zero_like,0.003566034,-14.85374889,-173.5269425,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Alternate Wetting and Drying (AWD),zero_like,0.001081943,-13.23731773,27.92114536,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,System of Rice Intensification (SRI) Water Management,zero_like,0.000327782,40.04447228,-28.7226753,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Balanced Inorganic NPK Fertilisation,zero_like,-0.015352462,4.481890874,26.39960208,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Optimised / Variable-Rate N Application,zero_like,0.020387814,20.87778115,42.8245271,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Integrated Nutrient Management (INM) – Organic + Inorganic,zero_like,0.021949543,-29.71907636,-76.77018393,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Green Manure Incorporation,zero_like,-0.013898639,-9.745245079,-165.2023377,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Farmyard Manure (FYM) Application,zero_like,0.009527264,-5.555567427,-176.4967553,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Compost Application,zero_like,-0.015233686,7.837846186,100.5751881,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Biochar Application,zero_like,0.029950963,72.84656165,49.72913199,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Rice Straw Incorporation with N Fertiliser,zero_like,-0.014843072,-53.30115702,32.12537548,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Crop Rotation and Diversification,zero_like,-0.012194116,-10.3839315,-73.45161589,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Early-Maturing / Low-Emission Variety Selection,zero_like,-0.002111863,26.64950577,18.84582809,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,High-Biomass / Deep-Root Variety Selection,zero_like,-0.002379523,-25.89134382,-200.9619534,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Deep Placement of N Fertiliser,zero_like,-0.007294619,-1.34456377,212.1515896,0,No explicit source interaction; treated as weak/additive.
Reduced / Minimum Tillage,Raised Bed + Zero Tillage System,zero_like,0.001954118,24.56848778,-59.91547182,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Mid-Season Drainage (MSD),zero_like,-0.017774156,-24.12791906,-87.02712774,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Alternate Wetting and Drying (AWD),zero_like,0.031927046,-20.53466698,100.6187044,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,System of Rice Intensification (SRI) Water Management,zero_like,-0.013543908,23.28932532,46.19411593,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Balanced Inorganic NPK Fertilisation,zero_like,-0.002349568,-1.019063153,-78.57452345,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Optimised / Variable-Rate N Application,zero_like,0.006691083,-11.37458701,-147.0726917,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Integrated Nutrient Management (INM) – Organic + Inorganic,zero_like,-0.019169064,4.314697943,189.4909508,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Green Manure Incorporation,zero_like,0.002399874,-2.965958153,34.29913675,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Farmyard Manure (FYM) Application,zero_like,0.019590026,5.484562534,-49.3112677,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Compost Application,zero_like,0.016594331,10.71891096,184.290719,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Biochar Application,zero_like,0.002748517,-30.61172579,-164.1791039,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Rice Straw Incorporation with N Fertiliser,zero_like,0.024763919,43.09164302,-21.54230559,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Crop Rotation and Diversification,zero_like,-0.00574781,36.53610731,-132.8454818,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Early-Maturing / Low-Emission Variety Selection,zero_like,-0.013420905,16.08316987,-47.35261474,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,High-Biomass / Deep-Root Variety Selection,zero_like,-7.6828E-05,-4.086072463,40.50894586,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Deep Placement of N Fertiliser,zero_like,0.021112228,2.264622673,77.27265519,0,No explicit source interaction; treated as weak/additive.
Puddling Reduction,Raised Bed + Zero Tillage System,zero_like,-0.030752582,-1.217960048,-101.1876324,0,No explicit source interaction; treated as weak/additive.
Mid-Season Drainage (MSD),Alternate Wetting and Drying (AWD),zero_like,-0.018282196,-21.95380917,-40.09481288,0,No explicit source interaction; treated as weak/additive.
Mid-Season Drainage (MSD),System of Rice Intensification (SRI) Water Management,zero_like,0.013738538,-33.15981794,3.675779111,0,No explicit source interaction; treated as weak/additive.
Mid-Season Drainage (MSD),Balanced Inorganic NPK Fertilisation,zero_like,-0.007262542,-8.191827359,120.330939,0,No explicit source interaction; treated as weak/additive.
Mid-Season Drainage (MSD),Optimised / Variable-Rate N Application,pos,0.096143463,-43.19106624,622.1889777,0,Named synergy for net GHG balance under drainage.
Mid-Season Drainage (MSD),Integrated Nutrient Management (INM) – Organic + Inorganic,zero_like,-0.010439139,-5.596470422,29.09961495,0,No explicit source interaction; treated as weak/additive.
Mid-Season Drainage (MSD),Green Manure Incorporation,zero_like,0.0026486,-27.10970181,10.8587738,0,No explicit source interaction; treated as weak/additive.
Mid-Season Drainage (MSD),Farmyard Manure (FYM) Application,zero_like,0.003423425,62.93685094,225.2213534,0,No explicit source interaction; treated as weak/additive.
Mid-Season Drainage (MSD),Compost Application,zero_like,-0.01279865,-7.184584039,-175.6130402,0,No explicit source interaction; treated as weak/additive.
Mid-Season Drainage (MSD),Biochar Application,strong_pos,0.136371719,-204.2197498,1701.463405,0,Biochar compensates SOC loss from drainage; MSD suppresses CH4.
Mid-Season Drainage (MSD),Rice Straw Incorporation with N Fertiliser,zero_like,-0.010936258,-16.353661,-257.6746836,0,No explicit source interaction; treated as weak/additive.
Mid-Season Drainage (MSD),Crop Rotation and Diversification,zero_like,-0.002439989,-26.5603603,-63.53273128,0,No explicit source interaction; treated as weak/additive.
Mid-Season Drainage (MSD),Early-Maturing / Low-Emission Variety Selection,zero_like,-0.013152912,-2.356563856,-210.927407,0,No explicit source interaction; treated as weak/additive.
Mid-Season Drainage (MSD),High-Biomass / Deep-Root Variety Selection,neg,-0.099340905,205.1698845,-831.7360646,0,Inventory notes antagonism with drainage-type regime.
Mid-Season Drainage (MSD),Deep Placement of N Fertiliser,zero_like,-0.016451784,45.92283821,348.6080603,0,No explicit source interaction; treated as weak/additive.
Mid-Season Drainage (MSD),Raised Bed + Zero Tillage System,zero_like,-0.017573499,-9.20622392,40.98666611,0,No explicit source interaction; treated as weak/additive.
Alternate Wetting and Drying (AWD),System of Rice Intensification (SRI) Water Management,pos,0.131860929,-124.5399977,605.8499877,0,Inventory notes synergy between SRI and AWD-type water control.
Alternate Wetting and Drying (AWD),Balanced Inorganic NPK Fertilisation,zero_like,0.011660064,10.86915186,-45.13872855,0,No explicit source interaction; treated as weak/additive.
Alternate Wetting and Drying (AWD),Optimised / Variable-Rate N Application,zero_like,-0.002007344,-34.37239521,-28.58084928,0,No explicit source interaction; treated as weak/additive.
Alternate Wetting and Drying (AWD),Integrated Nutrient Management (INM) – Organic + Inorganic,zero_like,-0.003995812,5.804247241,-66.63926626,0,No explicit source interaction; treated as weak/additive.
Alternate Wetting and Drying (AWD),Green Manure Incorporation,zero_like,0.007073078,25.31789545,18.65151932,0,No explicit source interaction; treated as weak/additive.
Alternate Wetting and Drying (AWD),Farmyard Manure (FYM) Application,zero_like,0.005276346,1.328883689,0.010127171,0,No explicit source interaction; treated as weak/additive.
Alternate Wetting and Drying (AWD),Compost Application,zero_like,-0.010823371,7.912356542,-11.67439181,0,No explicit source interaction; treated as weak/additive.
Alternate Wetting and Drying (AWD),Biochar Application,neg,-0.028136634,182.9341961,-530.5476205,0,Biochar + AWD may increase priming of native SOM.
Alternate Wetting and Drying (AWD),Rice Straw Incorporation with N Fertiliser,zero_like,-0.011445858,-27.8102868,142.9371544,0,No explicit source interaction; treated as weak/additive.
Alternate Wetting and Drying (AWD),Crop Rotation and Diversification,zero_like,0.003941238,12.00358508,-209.3503184,0,No explicit source interaction; treated as weak/additive.
Alternate Wetting and Drying (AWD),Early-Maturing / Low-Emission Variety Selection,strong_pos,0.197097539,-197.2789831,1122.392329,0,Shorter submergence period strengthens AWD's CH4-reduction benefit.
Alternate Wetting and Drying (AWD),High-Biomass / Deep-Root Variety Selection,pos,0.065854256,-80.76989785,659.4440237,0,Inventory notes positive interaction with AWD-type water management.
Alternate Wetting and Drying (AWD),Deep Placement of N Fertiliser,zero_like,-0.004382568,-2.587206702,-30.23728538,0,No explicit source interaction; treated as weak/additive.
Alternate Wetting and Drying (AWD),Raised Bed + Zero Tillage System,zero_like,0.002288438,36.78729932,-307.9990129,0,No explicit source interaction; treated as weak/additive.
System of Rice Intensification (SRI) Water Management,Balanced Inorganic NPK Fertilisation,zero_like,-0.003552754,4.412810534,35.51927876,0,No explicit source interaction; treated as weak/additive.
System of Rice Intensification (SRI) Water Management,Optimised / Variable-Rate N Application,zero_like,-0.005578719,-43.91804456,39.35945805,0,No explicit source interaction; treated as weak/additive.
System of Rice Intensification (SRI) Water Management,Integrated Nutrient Management (INM) – Organic + Inorganic,zero_like,0.025910253,-38.34653512,103.6593616,0,No explicit source interaction; treated as weak/additive.
System of Rice Intensification (SRI) Water Management,Green Manure Incorporation,pos,0.070144243,-92.1463521,460.4782681,0,SRI is synergistic with organic amendments.
System of Rice Intensification (SRI) Water Management,Farmyard Manure (FYM) Application,pos,0.069966315,-44.49843919,754.8779436,0,SRI is synergistic with organic amendments.
System of Rice Intensification (SRI) Water Management,Compost Application,pos,0.131969348,-48.79058389,729.0356022,0,SRI is synergistic with organic amendments.
System of Rice Intensification (SRI) Water Management,Biochar Application,zero_like,0.026159018,10.97482897,99.35858122,0,No explicit source interaction; treated as weak/additive.
System of Rice Intensification (SRI) Water Management,Rice Straw Incorporation with N Fertiliser,zero_like,-0.004448564,1.663645396,-83.6908588,0,No explicit source interaction; treated as weak/additive.
System of Rice Intensification (SRI) Water Management,Crop Rotation and Diversification,zero_like,0.014843759,-29.45759058,93.88204109,0,No explicit source interaction; treated as weak/additive.
System of Rice Intensification (SRI) Water Management,Early-Maturing / Low-Emission Variety Selection,pos,0.074280468,-49.00635173,785.156418,0,SRI is synergistic with improved varieties.
System of Rice Intensification (SRI) Water Management,High-Biomass / Deep-Root Variety Selection,zero_like,0.027309692,18.26936728,-188.6448307,0,No explicit source interaction; treated as weak/additive.
System of Rice Intensification (SRI) Water Management,Deep Placement of N Fertiliser,zero_like,-0.001004298,-29.30017981,-62.19358108,0,No explicit source interaction; treated as weak/additive.
System of Rice Intensification (SRI) Water Management,Raised Bed + Zero Tillage System,zero_like,0.022668426,15.93834527,-83.87165143,0,No explicit source interaction; treated as weak/additive.
Balanced Inorganic NPK Fertilisation,Optimised / Variable-Rate N Application,zero_like,-0.01520576,0.819552322,-145.9872179,0,No explicit source interaction; treated as weak/additive.
Balanced Inorganic NPK Fertilisation,Integrated Nutrient Management (INM) – Organic + Inorganic,X,0,0,0,1,INM already includes the inorganic component; overlapping to avoid double counting.
Balanced Inorganic NPK Fertilisation,Green Manure Incorporation,zero_like,-0.010067104,7.800236789,138.6374443,0,No explicit source interaction; treated as weak/additive.
Balanced Inorganic NPK Fertilisation,Farmyard Manure (FYM) Application,strong_pos,0.184350459,-334.5644754,1476.091682,0,NPK + FYM improves labile C and nutrient use relative to NPK alone.
Balanced Inorganic NPK Fertilisation,Compost Application,zero_like,0.001080504,10.34725713,193.9451618,0,No explicit source interaction; treated as weak/additive.
Balanced Inorganic NPK Fertilisation,Biochar Application,zero_like,-0.030948574,-14.77758563,70.90875874,0,No explicit source interaction; treated as weak/additive.
Balanced Inorganic NPK Fertilisation,Rice Straw Incorporation with N Fertiliser,zero_like,-0.023723916,36.8987262,44.20279352,0,No explicit source interaction; treated as weak/additive.
Balanced Inorganic NPK Fertilisation,Crop Rotation and Diversification,zero_like,0.01269876,-14.27359154,97.6516428,0,No explicit source interaction; treated as weak/additive.
Balanced Inorganic NPK Fertilisation,Early-Maturing / Low-Emission Variety Selection,zero_like,0.016027073,5.821950503,28.12810712,0,No explicit source interaction; treated as weak/additive.
Balanced Inorganic NPK Fertilisation,High-Biomass / Deep-Root Variety Selection,zero_like,0.004055149,-21.58363162,-17.70344163,0,No explicit source interaction; treated as weak/additive.
Balanced Inorganic NPK Fertilisation,Deep Placement of N Fertiliser,pos,0.075424324,-76.58121475,829.9683644,0,Improved N placement works well with balanced nutrient management.
Balanced Inorganic NPK Fertilisation,Raised Bed + Zero Tillage System,zero_like,-0.015878041,-3.125225758,177.7746657,0,No explicit source interaction; treated as weak/additive.
Optimised / Variable-Rate N Application,Integrated Nutrient Management (INM) – Organic + Inorganic,zero_like,-0.011153823,-20.55625043,24.27674302,0,No explicit source interaction; treated as weak/additive.
Optimised / Variable-Rate N Application,Green Manure Incorporation,zero_like,0.012665778,0.285651389,159.4752709,0,No explicit source interaction; treated as weak/additive.
Optimised / Variable-Rate N Application,Farmyard Manure (FYM) Application,zero_like,0.01285191,21.04550167,66.49398016,0,No explicit source interaction; treated as weak/additive.
Optimised / Variable-Rate N Application,Compost Application,zero_like,0.034914797,-5.129042222,-240.422675,0,No explicit source interaction; treated as weak/additive.
Optimised / Variable-Rate N Application,Biochar Application,zero_like,0.024063815,-11.44248577,12.94565332,0,No explicit source interaction; treated as weak/additive.
Optimised / Variable-Rate N Application,Rice Straw Incorporation with N Fertiliser,pos,0.119286521,-146.0790839,424.7035015,0,Better N timing/rates improves residue decomposition management.
Optimised / Variable-Rate N Application,Crop Rotation and Diversification,zero_like,-0.024019169,-19.85340725,52.75639272,0,No explicit source interaction; treated as weak/additive.
Optimised / Variable-Rate N Application,Early-Maturing / Low-Emission Variety Selection,zero_like,0.007862818,6.906854483,-169.5319061,0,No explicit source interaction; treated as weak/additive.
Optimised / Variable-Rate N Application,High-Biomass / Deep-Root Variety Selection,zero_like,-0.034651552,1.358839635,-56.61312404,0,No explicit source interaction; treated as weak/additive.
Optimised / Variable-Rate N Application,Deep Placement of N Fertiliser,pos,0.093781573,-65.43162308,674.8834578,0,Both improve N-use efficiency and reduce redundant losses.
Optimised / Variable-Rate N Application,Raised Bed + Zero Tillage System,zero_like,0.011401996,5.730284353,63.60776467,0,No explicit source interaction; treated as weak/additive.
Integrated Nutrient Management (INM) – Organic + Inorganic,Green Manure Incorporation,zero_like,-0.010570099,-4.490285346,23.6131316,0,No explicit source interaction; treated as weak/additive.
Integrated Nutrient Management (INM) – Organic + Inorganic,Farmyard Manure (FYM) Application,zero_like,0.012307927,-9.843529306,62.54007069,0,No explicit source interaction; treated as weak/additive.
Integrated Nutrient Management (INM) – Organic + Inorganic,Compost Application,zero_like,-0.003987582,-2.938554183,99.54228504,0,No explicit source interaction; treated as weak/additive.
Integrated Nutrient Management (INM) – Organic + Inorganic,Biochar Application,zero_like,-0.029895906,-32.4118082,-177.8622477,0,No explicit source interaction; treated as weak/additive.
Integrated Nutrient Management (INM) – Organic + Inorganic,Rice Straw Incorporation with N Fertiliser,zero_like,-0.035004242,-16.956611,89.93206797,0,No explicit source interaction; treated as weak/additive.
Integrated Nutrient Management (INM) – Organic + Inorganic,Crop Rotation and Diversification,zero_like,-0.004273261,4.944752049,130.7060996,0,No explicit source interaction; treated as weak/additive.
Integrated Nutrient Management (INM) – Organic + Inorganic,Early-Maturing / Low-Emission Variety Selection,zero_like,0.019915292,-1.728448368,162.4303067,0,No explicit source interaction; treated as weak/additive.
Integrated Nutrient Management (INM) – Organic + Inorganic,High-Biomass / Deep-Root Variety Selection,zero_like,0.0013819,-20.9349556,-71.32804226,0,No explicit source interaction; treated as weak/additive.
Integrated Nutrient Management (INM) – Organic + Inorganic,Deep Placement of N Fertiliser,zero_like,-0.022208048,-22.20334634,-42.96200257,0,No explicit source interaction; treated as weak/additive.
Integrated Nutrient Management (INM) – Organic + Inorganic,Raised Bed + Zero Tillage System,zero_like,0.012053775,43.01924578,-165.8617818,0,No explicit source interaction; treated as weak/additive.
Green Manure Incorporation,Farmyard Manure (FYM) Application,zero_like,0.005892412,-26.01359848,56.96365062,0,No explicit source interaction; treated as weak/additive.
Green Manure Incorporation,Compost Application,zero_like,-0.0019663,-45.77264565,111.395639,0,No explicit source interaction; treated as weak/additive.
Green Manure Incorporation,Biochar Application,zero_like,-0.009075011,-13.34750596,-128.3702894,0,No explicit source interaction; treated as weak/additive.
Green Manure Incorporation,Rice Straw Incorporation with N Fertiliser,zero_like,-0.009814249,10.69726102,-22.70932091,0,No explicit source interaction; treated as weak/additive.
Green Manure Incorporation,Crop Rotation and Diversification,pos,0.08985986,-77.33273511,887.719098,0,Green manure fits naturally into diversified rotations.
Green Manure Incorporation,Early-Maturing / Low-Emission Variety Selection,zero_like,-0.005141792,-36.92144542,128.06669,0,No explicit source interaction; treated as weak/additive.
Green Manure Incorporation,High-Biomass / Deep-Root Variety Selection,zero_like,-0.004972323,27.86481111,46.00525358,0,No explicit source interaction; treated as weak/additive.
Green Manure Incorporation,Deep Placement of N Fertiliser,zero_like,-0.001967063,8.719397351,234.1215072,0,No explicit source interaction; treated as weak/additive.
Green Manure Incorporation,Raised Bed + Zero Tillage System,zero_like,0.031154708,1.734528378,19.2228712,0,No explicit source interaction; treated as weak/additive.
Farmyard Manure (FYM) Application,Compost Application,zero_like,0.016143602,-21.14152582,39.96844471,0,No explicit source interaction; treated as weak/additive.
Farmyard Manure (FYM) Application,Biochar Application,zero_like,-0.000387943,7.847705286,-100.0042567,0,No explicit source interaction; treated as weak/additive.
Farmyard Manure (FYM) Application,Rice Straw Incorporation with N Fertiliser,zero_like,-0.023843512,-51.8245859,-134.0860936,0,No explicit source interaction; treated as weak/additive.
Farmyard Manure (FYM) Application,Crop Rotation and Diversification,pos,0.066239741,-100.2617055,998.7016092,0,Diversification and organic matter addition are complementary.
Farmyard Manure (FYM) Application,Early-Maturing / Low-Emission Variety Selection,zero_like,0.016589901,-24.05227791,41.72501429,0,No explicit source interaction; treated as weak/additive.
Farmyard Manure (FYM) Application,High-Biomass / Deep-Root Variety Selection,zero_like,-0.006106174,-7.109095951,22.23907793,0,No explicit source interaction; treated as weak/additive.
Farmyard Manure (FYM) Application,Deep Placement of N Fertiliser,zero_like,0.009287567,-8.481462097,127.6621839,0,No explicit source interaction; treated as weak/additive.
Farmyard Manure (FYM) Application,Raised Bed + Zero Tillage System,zero_like,-0.017129073,0.158476559,311.7208472,0,No explicit source interaction; treated as weak/additive.
Compost Application,Biochar Application,zero_like,0.003346196,35.83036267,10.98242138,0,No explicit source interaction; treated as weak/additive.
Compost Application,Rice Straw Incorporation with N Fertiliser,zero_like,0.008711656,-1.41957986,-20.44890974,0,No explicit source interaction; treated as weak/additive.
Compost Application,Crop Rotation and Diversification,pos,0.056615528,-74.93945244,496.7233059,0,Diversified systems and organic amendments reinforce soil-carbon building.
Compost Application,Early-Maturing / Low-Emission Variety Selection,zero_like,0.009983779,27.13217511,43.98376887,0,No explicit source interaction; treated as weak/additive.
Compost Application,High-Biomass / Deep-Root Variety Selection,zero_like,-0.004293731,11.34913948,-37.04076667,0,No explicit source interaction; treated as weak/additive.
Compost Application,Deep Placement of N Fertiliser,zero_like,0.014033207,-45.78515211,-40.27288417,0,No explicit source interaction; treated as weak/additive.
Compost Application,Raised Bed + Zero Tillage System,zero_like,-0.02986218,-37.37652076,163.6634676,0,No explicit source interaction; treated as weak/additive.
Biochar Application,Rice Straw Incorporation with N Fertiliser,zero_like,0.013427775,-17.98700583,-180.3004147,0,No explicit source interaction; treated as weak/additive.
Biochar Application,Crop Rotation and Diversification,zero_like,-0.044467933,-13.5873877,290.4498015,0,No explicit source interaction; treated as weak/additive.
Biochar Application,Early-Maturing / Low-Emission Variety Selection,zero_like,0.006523264,-13.98930715,55.80962514,0,No explicit source interaction; treated as weak/additive.
Biochar Application,High-Biomass / Deep-Root Variety Selection,zero_like,-0.023414375,-7.433084067,11.93729676,0,No explicit source interaction; treated as weak/additive.
Biochar Application,Deep Placement of N Fertiliser,pos,0.07741698,-62.32178574,712.0361407,0,Biochar and improved N placement jointly improve nutrient retention.
Biochar Application,Raised Bed + Zero Tillage System,zero_like,0.01002489,-17.20930706,107.737849,0,No explicit source interaction; treated as weak/additive.
Rice Straw Incorporation with N Fertiliser,Crop Rotation and Diversification,zero_like,0.024434054,-24.25373799,-106.5234787,0,No explicit source interaction; treated as weak/additive.
Rice Straw Incorporation with N Fertiliser,Early-Maturing / Low-Emission Variety Selection,zero_like,0.020036765,-4.783599667,168.458567,0,No explicit source interaction; treated as weak/additive.
Rice Straw Incorporation with N Fertiliser,High-Biomass / Deep-Root Variety Selection,zero_like,-0.006638036,36.37613941,15.77829802,0,No explicit source interaction; treated as weak/additive.
Rice Straw Incorporation with N Fertiliser,Deep Placement of N Fertiliser,pos,0.087746865,-35.23486924,584.8813141,0,Improved N placement supports residue incorporation efficiency.
Rice Straw Incorporation with N Fertiliser,Raised Bed + Zero Tillage System,zero_like,-0.014116831,-11.2141052,54.28007408,0,No explicit source interaction; treated as weak/additive.
Crop Rotation and Diversification,Early-Maturing / Low-Emission Variety Selection,zero_like,-0.023486386,15.93677257,-64.65255811,0,No explicit source interaction; treated as weak/additive.
Crop Rotation and Diversification,High-Biomass / Deep-Root Variety Selection,zero_like,0.01721719,-59.85650762,-94.38789301,0,No explicit source interaction; treated as weak/additive.
Crop Rotation and Diversification,Deep Placement of N Fertiliser,zero_like,-0.025297022,-20.65573666,29.71990813,0,No explicit source interaction; treated as weak/additive.
